district,max temp celsius,min temp celsius,wind speed(km/h),average temp,overall highest temp,overall lowest temp,overall average temp
chennai,40,29,28,34.5,41,22,32
madurai,39,25,37,32,,,
coimbatore,35,23,34,29,,,
trichy,40,24,37,32,,,
salem,34,22,19,28,,,
kanyakumarai,32,26,34,29,,,
erode,38,26,39,32,,,
perambalur,40,24,37,32,,,
chengalpattu,40,29,28,34.5,,,
tirunelveli,40,27,29,33.5,,,
vellore,39,27,30,33,,,
dindigul,39,25,37,32,,,
kanchipuram,41,22,41,31.5,,,
kallakuruchi,39,26,30,32.5,,,
thiruvanamalai,38,26,37,32,,,
tindivanam,40,27,28,33.5,,,
namakkal,40,24,37,32,,,
karur,40,24,37,32,,,
thothukudi,39,27,33,33,,,
